time, x
11.700000, 8.310040
11.710000, 8.310014
11.720000, 8.309987
11.730000, 8.309961
11.740000, 8.309934
11.750000, 8.309908
11.760000, 8.309882
11.770000, 8.309856
11.780000, 8.309830
11.790000, 8.309804
11.800000, 8.309779
11.810000, 8.309753
11.820000, 8.309728
11.830000, 8.309703
11.840000, 8.309677
11.850000, 8.309652
11.860000, 8.309628
11.870000, 8.309603
11.880000, 8.309578
11.890000, 8.309554
11.900000, 8.309529
11.910000, 8.309505
11.920000, 8.309481
11.930000, 8.309456
11.940000, 8.309432
11.950000, 8.309409
11.960000, 8.309385
11.970000, 8.309361
11.980000, 8.309338
11.990000, 8.309314
12.000000, 8.309291
12.010000, 8.309268
12.020000, 8.309245
12.030000, 8.309222
12.040000, 8.309199
12.050000, 8.309176
12.060000, 8.309153
12.070000, 8.309131
12.080000, 8.309108
12.090000, 8.309086
12.100000, 8.309063
12.110000, 8.309041
12.120000, 8.309019
12.130000, 8.308997
12.140000, 8.308975
12.150000, 8.308954
12.160000, 8.308932
12.170000, 8.308911
12.180000, 8.308889
12.190000, 8.308868
12.200000, 8.308847
12.210000, 8.308825
12.220000, 8.308804
12.230000, 8.308783
12.240000, 8.308763
12.250000, 8.308742
12.260000, 8.308721
12.270000, 8.308701
12.280000, 8.308680
12.290000, 8.308660
12.300000, 8.308639
12.310000, 8.308619
12.320000, 8.308599
12.330000, 8.308579
12.340000, 8.308559
12.350000, 8.308540
12.360000, 8.308520
12.370000, 8.308500
12.380000, 8.308481
12.390000, 8.308461
12.400000, 8.308442
12.410000, 8.308423
12.420000, 8.308403
12.430000, 8.308384
12.440000, 8.308365
12.450000, 8.308346
12.460000, 8.308328
12.470000, 8.308309
12.480000, 8.308290
12.490000, 8.308272
12.500000, 8.308253
12.510000, 8.308235
12.520000, 8.308217
12.530000, 8.308198
12.540000, 8.308180
12.550000, 8.308162
12.560000, 8.308144
